Statistic,Value
Ljung-Box (L1) (Q):,0.00
Prob(Q):,1.00
Heteroskedasticity (H):,0.49
Prob(H) (two-sided):,0.00
  Jarque-Bera (JB):  ,58416.89
  Prob(JB):          ,0.00
  Skew:              ,-1.22
  Kurtosis:          ,22.74
