name,coef,std err,t,P>|t|,95.0% Conf. Int.
omega,    0.0318,8.783e-03,    3.616,2.997e-04,"[1.454e-02,4.897e-02]"
alpha[1],8.9406e-03,1.273e-02,    0.702,    0.482,"[-1.600e-02,3.389e-02]"
gamma[1],    0.1475,2.467e-02,    5.978,2.261e-09,"[9.914e-02,  0.196]"
beta[1],    0.9034,1.394e-02,   64.798,0.000,"[  0.876,  0.931]"
