name,coef,std err,t,P>|t|,95.0% Conf. Int.
omega,    0.0300,1.384e-02,    2.168,3.012e-02,"[2.886e-03,5.715e-02]"
alpha[1],    0.0313,1.190e-02,    2.632,8.494e-03,"[7.995e-03,5.465e-02]"
gamma[1],    0.0819,3.348e-02,    2.447,1.440e-02,"[1.631e-02,  0.148]"
beta[1],    0.9152,1.886e-02,   48.527,0.000,"[  0.878,  0.952]"
