name,coef,std err,t,P>|t|,95.0% Conf. Int.
omega,    0.0273,7.987e-03,    3.415,6.382e-04,"[1.162e-02,4.293e-02]"
alpha[1],2.9740e-11,1.095e-02,2.716e-09,    1.000,"[-2.146e-02,2.146e-02]"
gamma[1],    0.1431,2.587e-02,    5.530,3.194e-08,"[9.236e-02,  0.194]"
beta[1],    0.9106,1.755e-02,   51.895,0.000,"[  0.876,  0.945]"
