name,coef,std err,t,P>|t|,95.0% Conf. Int.
omega,    0.0862,1.233e-02,    6.990,2.744e-12,"[6.204e-02,  0.110]"
alpha[1],4.7491e-10,1.946e-02,2.441e-08,    1.000,"[-3.813e-02,3.813e-02]"
gamma[1],    0.2300,3.500e-02,    6.571,4.988e-11,"[  0.161,  0.299]"
beta[1],    0.8424,2.765e-02,   30.465,7.537e-204,"[  0.788,  0.897]"
