name,coef,std err,t,P>|t|,95.0% Conf. Int.
omega,    0.0143,4.234e-03,    3.385,7.114e-04,"[6.035e-03,2.263e-02]"
alpha[1],    0.0141,8.941e-03,    1.580,    0.114,"[-3.396e-03,3.165e-02]"
gamma[1],    0.1101,2.294e-02,    4.801,1.579e-06,"[6.518e-02,  0.155]"
beta[1],    0.9132,1.554e-02,   58.757,0.000,"[  0.883,  0.944]"
