Item,Value
Dep. Variable:,arima_resids
Mean Model:,Zero Mean
Vol Model:,GJR-GARCH
Distribution:,Normal
Method:,Maximum Likelihood
  R-squared:         ,   0.000
  Adj. R-squared:    ,   0.000
  Log-Likelihood:    ,  -4337.90
  AIC:               ,   8683.80
  BIC:               ,   8707.88
Date:,"Thu, Dec 29 2022"
Time:,15:44:20
  No. Observations:  ,3037
  Df Residuals:      ,3037
  Df Model:          ,0
