Item,Value
Dep. Variable:,arima_resids
Mean Model:,Zero Mean
Vol Model:,GJR-GARCH
Distribution:,Normal
Method:,Maximum Likelihood
  R-squared:         ,   0.000
  Adj. R-squared:    ,   0.000
  Log-Likelihood:    ,  -3807.11
  AIC:               ,   7622.22
  BIC:               ,   7646.28
Date:,"Tue, Dec 20 2022"
Time:,14:59:08
  No. Observations:  ,3025
  Df Residuals:      ,3025
  Df Model:          ,0
