name,coef,std err,t,P>|t|,95.0% Conf. Int.
omega,    0.0248,3.936e-03,    6.305,2.879e-10,"[1.710e-02,3.253e-02]"
alpha[1],3.1576e-12,1.252e-02,2.522e-10,    1.000,"[-2.453e-02,2.453e-02]"
gamma[1],    0.2258,2.872e-02,    7.862,3.770e-15,"[  0.170,  0.282]"
beta[1],    0.8607,1.607e-02,   53.567,0.000,"[  0.829,  0.892]"
